date,pres,airTemp,RH,solar,windSpd,windDir,Hs,Tp,T1m,T2m,T3m,T4m,T5m,T6m,T7m,T8m,T9m,T10m,T11m,T12m,T13m,T14m,T15m,T16m,T17m,T18m,T19m,T20m,T21m,T22m,T23m,T24m,T25m,T26m,T27m,T28m,T29m,T30m,T32m,T34m,T36m,T38m,T40m,T42m,T44m,T46m,T48m,hVel_2.5m,dir_2.5m,hVel_7.5m,dir_7.5m,hVel_12.5m,dir_12.5m,hVel_17.5m,dir_17.5m,hVel_22.5m,dir_22.5m,hVel_27.5m,dir_27.5m,hVel_32.5m,dir_32.5m,hVel_37.5m,dir_37.5m,hVel_42.5m,dir_42.5m,hVel_47.5m,dir_47.5m
2025-07-06 09:40:00,1014.1,20.2,87,360,6.6,167,0.37,2.7,16.46,16.44,16.43,16.36,16.31,16.31,16.29,16.3,16.27,16.23,16.23,16,15.59,15.33,14.6,13.84,12.3,12.03,10.98,9.72,8.65,8.41,8.16,8.07,7.84,7.52,7.44,7.2,7.16,7.18,7.06,6.75,6.52,6.31,6.28,6.28,6.21,6.2,6.24,22.3,19,25.6,14,26.2,13,29,11,26.9,11,24.5,7,24.6,14,25.1,18,22.4,21,18.8,32
2025-07-06 10:00:00,1014,20.2,88,707,6,157,0.37,2.6,16.59,16.57,16.57,16.53,16.5,16.42,16.32,16.31,16.22,16.16,16.01,15.8,15.64,15.35,14.95,14.32,12.63,12.19,11.21,9.75,8.66,8.36,8.17,8.13,8.01,7.75,7.54,7.5,7.27,7.2,7.02,6.81,6.74,6.4,6.32,6.32,6.24,6.2,6.19,20.5,14,22.4,15,23.6,9,28.6,14,33.1,10,30.2,8,27.2,13,24.2,17,19,28,16.6,21
2025-07-06 10:20:00,1014.1,20.3,88,777,6.3,162,0.38,2.6,16.57,16.57,16.55,16.52,16.37,16.35,16.28,16.27,16.24,16.18,16.13,15.85,15.31,15.25,14.65,14,12.36,12.16,10.15,9.77,8.97,8.68,8.54,8.36,8.19,8.01,7.84,7.78,7.54,7.35,7.14,6.87,6.62,6.44,6.41,6.35,6.29,6.24,6.23,26.3,9,30,14,32.9,9,33.5,9,35.7,8,35.1,9,32.4,9,28.6,10,23.3,14,18.1,14
2025-07-06 10:40:00,1014,20.4,88,681,5.7,166,0.37,2.7,16.61,16.6,16.58,16.53,16.53,16.47,16.39,16.34,16.32,16.28,16.24,15.77,15.22,14.91,14.53,14.02,13.04,10.13,9.5,8.99,8.78,8.61,8.44,8.24,8.21,8.06,7.88,7.65,7.54,7.36,7.14,6.85,6.81,6.59,6.4,6.39,6.34,6.28,6.32,26.7,18,23.2,8,22.1,9,26.8,11,27.2,6,29.3,11,27.3,6,20,22,17,5,17.2,15
2025-07-06 11:00:00,1013.9,20.5,88,371,6.2,157,0.35,2.8,16.91,16.9,16.93,16.9,16.76,16.68,16.63,16.61,16.57,16.63,16.59,16.46,15.36,14.96,14.29,13.66,11.97,11.5,10.18,9.18,8.89,8.61,8.54,8.27,8.21,8.02,7.92,7.87,7.71,7.46,7.02,6.7,6.71,6.47,6.42,6.44,6.38,6.37,6.35,37.9,14,35.1,15,36.9,15,32.7,11,30.6,20,29.6,24,24.7,25,24.3,29,22.4,29,17.2,50
2025-07-06 11:20:00,1013.7,20.9,87,513,7.6,165,0.36,2.7,17.16,17.13,17.07,16.94,16.83,16.89,16.87,16.87,16.68,16.03,15.42,15.15,15.11,14.69,14.35,14.01,13.27,11.58,10.3,9.43,9,8.78,8.58,8.45,8.27,8.1,8.06,7.73,7.53,7.29,7.02,6.71,6.55,6.49,6.48,6.47,6.43,6.4,6.41,35.5,15,32.9,23,32.7,21,35.7,24,34.5,21,29.6,27,24.9,27,22.2,35,16.1,47,14.1,53
2025-07-06 11:40:00,1013.6,21.4,85,633,6.4,159,0.38,2.6,17.25,17.23,17.22,17.13,16.97,16.83,16.73,16.72,16.66,16.59,16.22,15.76,15.05,14.56,13.86,12.61,12.04,11.92,11.79,10.95,9.87,9.22,9.05,8.91,8.63,8.47,8.2,8.06,7.93,7.57,7.1,6.84,6.77,6.61,6.49,6.5,6.4,6.32,6.35,31.7,14,33.3,20,32.6,31,31.1,28,30.2,27,24.5,27,22.2,31,19.3,37,16,59,9.3,49
2025-07-06 12:00:00,1013.4,21.2,86,550,5.7,158,0.39,2.7,17.41,17.39,17.38,17.28,17.15,16.93,16.85,16.84,16.76,16.6,16.33,15.63,15.15,14.67,13.86,12.44,11.97,11.57,10.68,9.41,9.27,9.17,9.1,8.77,8.61,8.27,8.12,8.02,7.91,7.64,7.41,6.92,6.81,6.57,6.52,6.52,6.42,6.32,6.32,29.5,21,26.2,23,27,25,28.8,23,31.2,32,27.4,36,23,34,20,48,16.6,49,10.4,61
2025-07-06 12:20:00,1013.2,21.9,85,421,6,156,0.37,2.8,17.49,17.47,17.41,17.27,17.09,16.94,16.89,16.88,16.89,16.75,16.28,15.75,15.28,14.67,13.87,12.5,12.1,12.05,11.22,10.13,9.51,9.13,8.97,8.68,8.37,8.23,8.16,8.12,8,7.86,7.52,6.95,6.81,6.57,6.5,6.47,6.39,6.32,6.33,27.7,21,31.5,23,28.3,26,26.3,28,27.8,34,26.9,36,25.7,35,20.8,46,16.5,47,9.5,52
2025-07-06 12:40:00,1012.8,22.2,84,272,6.8,160,0.39,2.5,17.58,17.56,17.56,17.51,17.41,17.13,16.95,16.86,16.8,16.74,16.46,15.74,15.21,14.55,13.48,12.17,12.1,12.02,11.29,9.72,9.33,9.01,8.88,8.8,8.47,8.21,8.18,8.14,8.06,7.95,7.45,6.96,6.84,6.67,6.62,6.54,6.38,6.34,6.34,28.3,6,23.8,13,25.7,28,24.1,35,25.4,38,23.2,36,24.8,37,19.5,47,13.9,46,7.8,46
