date,pres,airTemp,RH,solar,windSpd,windDir,Hs,Tp,T1m,T2m,T3m,T4m,T5m,T6m,T7m,T8m,T9m,T10m,T11m,T12m,T13m,T14m,T15m,T16m,T17m,T18m,T19m,T20m,T21m,T22m,T23m,T24m,T25m,T26m,T27m,T28m,T29m,T30m,T32m,T34m,T36m,T38m,T40m,T42m,T44m,T46m,T48m,hVel_2.5m,dir_2.5m,hVel_7.5m,dir_7.5m,hVel_12.5m,dir_12.5m,hVel_17.5m,dir_17.5m,hVel_22.5m,dir_22.5m,hVel_27.5m,dir_27.5m,hVel_32.5m,dir_32.5m,hVel_37.5m,dir_37.5m,hVel_42.5m,dir_42.5m,hVel_47.5m,dir_47.5m
2025-09-20 03:00:00,1026,12.5,73,0,6.8,341,0.3,2.6,19.45,19.43,19.45,19.44,19.44,19.46,19.46,19.48,19.48,19.46,19.49,19.44,19.43,19.33,19.15,18.89,17.68,14.4,13.46,12.22,11.26,10.63,10.35,10.24,9.76,8.79,8.42,8.32,8.28,8.24,8.12,7.91,7.89,7.25,7.12,7.12,7.06,7.03,7.06,25.4,210,22.8,199,24.6,197,21.7,205,19.9,202,20.9,206,24.5,207,19.5,204,16.6,205,10.3,211
2025-09-20 03:20:00,1026.1,12.3,71,0,5.2,354,0.31,2.5,19.44,19.43,19.45,19.43,19.44,19.47,19.47,19.49,19.49,19.45,19.49,19.45,19.33,19.2,19.08,18.76,16.93,13.87,13.13,11.77,10.93,10.53,10.39,10.35,10.03,8.99,8.38,8.3,8.27,8.24,8.11,7.87,7.88,7.16,7.1,7.09,7.03,7.02,7.05,25.4,211,26.9,199,29.9,201,30.4,199,27.3,199,24.3,205,25,208,25,200,23.6,211,18.6,215
2025-09-20 03:40:00,1026.2,11.9,72,0,5.6,344,0.27,2.5,19.45,19.43,19.45,19.43,19.43,19.44,19.44,19.46,19.47,19.44,19.47,19.43,19.41,19.32,19.17,18.53,17.88,14.02,12.7,11.54,10.76,10.56,10.24,10.2,9.51,8.86,8.31,8.28,8.25,8.25,8.06,7.87,7.37,7.15,7.11,7.09,7.02,7.01,7.04,23.4,197,22.2,195,22.8,185,25.6,199,25.7,198,23.2,199,24.2,204,24.5,209,23.4,200,19.3,193
2025-09-20 04:00:00,1026.4,11.6,72,0,4.4,345,0.26,2.5,19.47,19.46,19.47,19.45,19.46,19.47,19.46,19.48,19.49,19.46,19.49,19.45,19.42,18.86,18.8,18.43,17.42,13.84,12.53,11.76,10.68,10.46,10.21,10.07,9.25,8.58,8.36,8.27,8.26,8.28,8.04,7.85,7.27,7.16,7.06,7.05,7,6.99,7.02,26.8,194,26.6,202,20.2,198,21.6,203,22.4,199,20.7,205,20.7,204,18.6,211,18.9,212,16.8,211
2025-09-20 04:20:00,1026.6,11.2,72,0,4.4,314,0.24,2.4,19.45,19.43,19.46,19.44,19.46,19.48,19.48,19.5,19.5,19.48,19.51,19.47,19.34,19.03,18.51,18.17,16.25,13.57,12.62,11.61,10.81,10.57,10.23,10.08,9.26,8.64,8.4,8.29,8.29,8.3,8.08,7.73,7.49,7.24,7.14,7.08,7.02,6.99,7.02,19.4,197,19.5,203,17.6,201,21.1,206,22.7,205,19.9,217,22,211,20.1,214,16.6,213,14.6,208
2025-09-20 04:40:00,1026.8,10.7,70,0,4.3,302,0.23,2.5,19.47,19.45,19.48,19.47,19.47,19.48,19.48,19.5,19.5,19.46,19.49,19.44,19.31,18.52,18.47,17.95,14.76,13.23,12.24,11.03,10.83,10.28,10.03,9.44,9.22,8.67,8.47,8.29,8.28,8.3,8.18,7.86,7.59,7.33,7.12,7.07,6.99,6.97,7.01,22.7,182,21.3,191,23.6,202,23.5,204,21.2,206,20.6,209,20.7,208,23.3,201,24,197,17.7,196
2025-09-20 05:00:00,1027,10.4,72,0,4.4,307,0.2,2.4,19.49,19.48,19.5,19.48,19.46,19.49,19.5,19.5,19.5,19.47,19.51,19.48,19.45,18.67,18.43,17.64,16.13,14.16,12.26,11.23,11.07,10.04,9.39,9.3,8.91,8.5,8.28,8.3,8.27,8.24,8.1,7.72,7.6,7.36,7.19,7.11,7,6.95,6.98,20.6,183,20.9,180,20.1,188,18.7,182,18.5,194,20.6,198,18.8,203,19.3,206,18.1,213,14.4,202
2025-09-20 05:20:00,1027.1,9.8,71,0,3.9,304,0.18,2.3,19.5,19.47,19.5,19.47,19.48,19.49,19.49,19.5,19.51,19.48,19.5,19.46,19.42,19.17,18.72,18.11,16.44,13.67,12.23,11.3,10.82,9.77,9.35,9.29,8.79,8.56,8.28,8.3,8.29,8.31,8.13,7.83,7.68,7.39,7.22,7.12,6.98,6.94,6.98,19.1,182,19.1,190,20.6,194,18.3,191,19.1,188,18.5,193,16.6,197,19.6,202,18.5,203,14.8,191
2025-09-20 05:40:00,1027.4,10,74,0,4.5,312,0.17,2.2,19.47,19.46,19.48,19.46,19.47,19.48,19.48,19.5,19.5,19.48,19.49,19.43,19.28,18.92,18.47,18.01,16.56,13.05,12.19,11.34,10.54,9.79,9.39,9.21,8.77,8.52,8.3,8.32,8.31,8.32,8.2,7.91,7.66,7.37,7.2,7.13,6.95,6.93,6.97,16.3,187,16.5,191,17.8,198,14.9,203,16.2,203,19.8,202,19.5,190,20.3,191,18.3,203,10.7,200
2025-09-20 06:00:00,1027.5,9.6,80,0,4.4,308,0.17,2.2,19.46,19.45,19.46,19.45,19.45,19.46,19.44,19.45,19.44,19.41,19.44,19.38,19.31,18.82,18.45,17.95,15.91,12.69,11.91,10.96,9.95,9.59,9.29,8.81,8.5,8.32,8.3,8.32,8.3,8.28,8.1,7.73,7.52,7.34,7.22,7.15,6.95,6.92,6.95,15.8,189,13.6,186,15,182,13.5,180,13,188,16.9,195,15.4,200,16,199,16.4,198,13.7,194
2025-09-20 06:20:00,1027.5,9.5,76,0,4.7,317,0.15,2.2,19.46,19.43,19.44,19.43,19.44,19.46,19.46,19.48,19.47,19.39,19.43,19.35,19.16,18.98,18.28,17.71,15.16,12.58,11.58,10.78,10,9.64,9.45,8.93,8.85,8.55,8.32,8.34,8.32,8.33,8.18,7.77,7.64,7.4,7.28,7.22,7.07,6.91,6.94,14.6,172,13.3,181,14.6,177,14.6,162,13.3,177,16.6,188,17.4,197,15.3,206,13.9,216,14.7,226
2025-09-20 06:40:00,1027.9,9.4,78,7,4.1,313,0.15,2.1,19.43,19.42,19.44,19.42,19.43,19.45,19.45,19.46,19.45,19.4,19.44,19.38,19.28,19.04,18.28,17.54,14.32,12.2,11.6,11.29,10.14,9.6,9.58,9.57,9.39,8.83,8.59,8.4,8.35,8.36,8.3,8.13,7.82,7.58,7.39,7.26,7.15,7.01,6.93,10.9,153,16.4,154,13.5,161,12,176,11.5,184,11.1,192,14.4,192,16.1,199,17.3,199,13.5,191
2025-09-20 07:00:00,1028.1,9.5,77,53,4.4,306,0.15,2.2,19.42,19.41,19.42,19.41,19.42,19.42,19.42,19.44,19.44,19.4,19.42,19.39,19.35,19,18.33,17.28,13.43,11.86,11.16,10.12,9.56,9.53,9.51,9.09,8.87,8.55,8.45,8.36,8.35,8.36,8.21,7.94,7.77,7.48,7.35,7.28,7.16,7.05,6.93,8.6,138,10.5,142,13.1,144,11.7,183,9.5,178,8.5,162,11.2,176,12.1,174,11.4,181,8.6,201
2025-09-20 07:20:00,1028.2,9.9,75,113,4.3,315,0.15,2.1,19.4,19.38,19.41,19.39,19.39,19.4,19.4,19.41,19.42,19.39,19.43,19.38,19.36,19.23,18.49,18.03,14.53,12.15,11.48,10.25,9.57,9.52,9.42,9.1,8.63,8.44,8.35,8.37,8.32,8.31,7.99,7.75,7.6,7.39,7.29,7.25,7.15,6.93,6.93,8,114,7.9,105,8.9,116,10.9,164,12.4,154,10.6,139,10.2,156,4.5,165,5,187,7.1,195
